OBJECTID,GEOID,B00001e1,B00001m1,B00002e1,B00002m1
1,05000US02013,1166,-1,410,-1
2,05000US02016,1828,-1,1004,-1
3,05000US02020,19680,-1,7292,-1
4,05000US02050,6967,-1,2145,-1
5,05000US02060,573,-1,488,-1
6,05000US02068,390,-1,420,-1
7,05000US02070,1848,-1,928,-1
8,05000US02090,6302,-1,2455,-1
9,05000US02100,364,-1,225,-1
10,05000US02105,778,-1,582,-1
11,05000US02110,3599,-1,1519,-1
12,05000US02122,7745,-1,4713,-1
13,05000US02130,2278,-1,1030,-1
14,05000US02150,1457,-1,632,-1
15,05000US02164,884,-1,794,-1
16,05000US02170,13168,-1,6251,-1
17,05000US02180,4361,-1,1476,-1
18,05000US02185,2678,-1,743,-1
19,05000US02188,3596,-1,1041,-1
20,05000US02195,1129,-1,620,-1
21,05000US02198,2087,-1,1110,-1
22,05000US02220,1427,-1,635,-1
23,05000US02230,397,-1,285,-1
24,05000US02240,1171,-1,864,-1
25,05000US02261,1280,-1,1273,-1
26,05000US02270,4285,-1,1088,-1
27,05000US02275,645,-1,377,-1
28,05000US02282,341,-1,206,-1
29,05000US02290,2665,-1,1968,-1
30,05000US01001,3828,-1,1551,-1
31,05000US01003,10881,-1,5584,-1
32,05000US01005,3138,-1,1315,-1
33,05000US01007,1687,-1,670,-1
34,05000US01009,5106,-1,2159,-1
35,05000US01011,688,-1,320,-1
36,05000US01013,2276,-1,1100,-1
37,05000US01015,8813,-1,3908,-1
38,05000US01017,2773,-1,1397,-1
39,05000US01019,2401,-1,1180,-1
40,05000US01021,3190,-1,1370,-1
41,05000US01023,1603,-1,842,-1
42,05000US01025,2114,-1,1131,-1
43,05000US01027,1179,-1,570,-1
44,05000US01029,1451,-1,662,-1
45,05000US01031,7127,-1,3321,-1
46,05000US01033,4370,-1,2051,-1
47,05000US01035,1112,-1,637,-1
48,05000US01037,1010,-1,577,-1
49,05000US01039,4394,-1,2186,-1
50,05000US01041,1785,-1,899,-1
51,05000US01043,6496,-1,2958,-1
52,05000US01045,5196,-1,2400,-1
53,05000US01047,3195,-1,1576,-1
54,05000US01049,6156,-1,2854,-1
55,05000US01051,6413,-1,2397,-1
56,05000US01053,3275,-1,1408,-1
57,05000US01055,8553,-1,3912,-1
58,05000US01057,1668,-1,788,-1
59,05000US01059,2456,-1,1107,-1
60,05000US01061,3162,-1,1473,-1
61,05000US01063,807,-1,498,-1
62,05000US01065,1641,-1,835,-1
63,05000US01067,1635,-1,832,-1
64,05000US01069,26189,-1,12313,-1
65,05000US01071,5133,-1,2509,-1
66,05000US01073,47298,-1,21392,-1
67,05000US01075,1570,-1,749,-1
68,05000US01077,7129,-1,3368,-1
69,05000US01079,2921,-1,1327,-1
70,05000US01081,9999,-1,4121,-1
71,05000US01083,6176,-1,2439,-1
72,05000US01085,1476,-1,707,-1
73,05000US01087,2643,-1,1176,-1
74,05000US01089,24350,-1,10696,-1
75,05000US01091,2016,-1,974,-1
76,05000US01093,2744,-1,1255,-1
77,05000US01095,12188,-1,5467,-1
78,05000US01097,29806,-1,13215,-1
79,05000US01099,1804,-1,1043,-1
80,05000US01101,16799,-1,7158,-1
81,05000US01103,8773,-1,3793,-1
82,05000US01105,804,-1,358,-1
83,05000US01107,2120,-1,1048,-1
84,05000US01109,3910,-1,1889,-1
85,05000US01111,1981,-1,976,-1
86,05000US01113,3680,-1,1702,-1
87,05000US01115,5266,-1,2117,-1
88,05000US01117,15259,-1,6241,-1
89,05000US01119,1232,-1,643,-1
90,05000US01121,6243,-1,2718,-1
91,05000US01123,3338,-1,1681,-1
92,05000US01125,14561,-1,6169,-1
93,05000US01127,5894,-1,2700,-1
94,05000US01129,1564,-1,781,-1
95,05000US01131,1124,-1,626,-1
96,05000US01133,2175,-1,1159,-1
97,05000US05001,2036,-1,1045,-1
98,05000US05003,2152,-1,982,-1
99,05000US05005,3568,-1,1874,-1
100,05000US05007,16803,-1,6796,-1
101,05000US05009,3491,-1,1607,-1
102,05000US05011,1157,-1,570,-1
103,05000US05013,698,-1,376,-1
104,05000US05015,2173,-1,1053,-1
105,05000US05017,1215,-1,553,-1
106,05000US05019,2369,-1,940,-1
107,05000US05021,2130,-1,1070,-1
108,05000US05023,2244,-1,1359,-1
109,05000US05025,1096,-1,510,-1
110,05000US05027,2090,-1,894,-1
111,05000US05029,2343,-1,1086,-1
112,05000US05031,7342,-1,3017,-1
113,05000US05033,4540,-1,1899,-1
114,05000US05035,4591,-1,1998,-1
115,05000US05037,1733,-1,766,-1
116,05000US05039,915,-1,471,-1
117,05000US05041,1336,-1,693,-1
118,05000US05043,1538,-1,664,-1
119,05000US05045,9434,-1,3695,-1
120,05000US05047,1664,-1,709,-1
121,05000US05049,1294,-1,637,-1
122,05000US05051,6150,-1,3046,-1
123,05000US05053,1904,-1,808,-1
124,05000US05055,3391,-1,1410,-1
125,05000US05057,1826,-1,910,-1
126,05000US05059,3008,-1,1308,-1
127,05000US05061,1351,-1,633,-1
128,05000US05063,3161,-1,1352,-1
129,05000US05065,1614,-1,869,-1
130,05000US05067,2527,-1,991,-1
131,05000US05069,6558,-1,2722,-1
132,05000US05071,2577,-1,1112,-1
133,05000US05073,1045,-1,615,-1
134,05000US05075,2489,-1,1154,-1
135,05000US05077,1206,-1,507,-1
136,05000US05079,1593,-1,542,-1
137,05000US05081,1206,-1,613,-1
138,05000US05083,2617,-1,1146,-1
139,05000US05085,5357,-1,2159,-1
140,05000US05087,1467,-1,674,-1
141,05000US05089,1645,-1,873,-1
142,05000US05091,3301,-1,1419,-1
143,05000US05093,4348,-1,1938,-1
144,05000US05095,1022,-1,565,-1
145,05000US05097,1131,-1,625,-1
146,05000US05099,938,-1,486,-1
147,05000US05101,983,-1,557,-1
148,05000US05103,2322,-1,1124,-1
149,05000US05105,1217,-1,585,-1
150,05000US05107,1773,-1,866,-1
151,05000US05109,1538,-1,784,-1
152,05000US05111,2644,-1,1227,-1
153,05000US05113,2110,-1,1002,-1
154,05000US05115,4975,-1,1965,-1
155,05000US05117,1331,-1,634,-1
156,05000US05119,23976,-1,11365,-1
157,05000US05121,1764,-1,804,-1
158,05000US05123,2575,-1,1073,-1
159,05000US05125,7639,-1,3181,-1
160,05000US05127,1042,-1,481,-1
161,05000US05129,918,-1,566,-1
162,05000US05131,8759,-1,3837,-1
163,05000US05133,1582,-1,687,-1
164,05000US05135,2037,-1,1122,-1
165,05000US05137,918,-1,482,-1
166,05000US05139,3883,-1,1839,-1
167,05000US05141,1675,-1,959,-1
168,05000US05143,13994,-1,5515,-1
169,05000US05145,6407,-1,2643,-1
170,05000US05147,978,-1,552,-1
171,05000US05149,1967,-1,959,-1
172,05000US04001,11246,-1,6719,-1
173,05000US04003,10371,-1,4516,-1
174,05000US04005,12421,-1,5617,-1
175,05000US04007,3817,-1,2177,-1
176,05000US04009,3688,-1,1256,-1
177,05000US04011,1085,-1,497,-1
178,05000US04012,1948,-1,1262,-1
179,05000US04013,261143,-1,109382,-1
180,05000US04015,12684,-1,6505,-1
181,05000US04017,11994,-1,6018,-1
182,05000US04019,70736,-1,30937,-1
183,05000US04021,23634,-1,9198,-1
184,05000US04023,3128,-1,1281,-1
185,05000US04025,12392,-1,6383,-1
186,05000US04027,14003,-1,5746,-1
187,05000US06001,118415,-1,45015,-1
188,05000US06003,280,-1,324,-1
189,05000US06005,3142,-1,1246,-1
190,05000US06007,17095,-1,7306,-1
191,05000US06009,2568,-1,1583,-1
192,05000US06011,1963,-1,801,-1
193,05000US06013,70877,-1,26909,-1
194,05000US06015,2586,-1,892,-1
195,05000US06017,12062,-1,6089,-1
